Date,Unemployment.Rate,Date.FX,AUDUSD
Feb-78,0.0641,28-Feb-78,1.1365
Mar-78,0.0636,31-Mar-78,1.1431
Apr-78,0.0631,30-Apr-78,1.1362
May-78,0.0628,31-May-78,1.1302
Jun-78,0.0627,30-Jun-78,1.1475
Jul-78,0.0627,31-Jul-78,1.1551
Aug-78,0.0629,31-Aug-78,1.1521
Sep-78,0.0631,30-Sep-78,1.1566
Oct-78,0.0631,31-Oct-78,1.1891
Nov-78,0.0631,30-Nov-78,1.1363
Dec-78,0.0632,31-Dec-78,1.1505
Jan-79,0.0633,31-Jan-79,1.1334
Feb-79,0.0634,28-Feb-79,1.1283
Mar-79,0.0633,31-Mar-79,1.1182
Apr-79,0.0631,30-Apr-79,1.1024
May-79,0.0628,31-May-79,1.1048
Jun-79,0.0625,30-Jun-79,1.1211
Jul-79,0.0623,31-Jul-79,1.1302
Aug-79,0.0621,31-Aug-79,1.1284
Sep-79,0.062,30-Sep-79,1.1298
Oct-79,0.0618,31-Oct-79,1.0974
Nov-79,0.0615,30-Nov-79,1.0942
Dec-79,0.061,31-Dec-79,1.1055
Jan-80,0.0606,31-Jan-80,1.1069
Feb-80,0.0605,29-Feb-80,1.0987
Mar-80,0.0607,31-Mar-80,1.0831
Apr-80,0.0611,30-Apr-80,1.1145
May-80,0.0615,31-May-80,1.1426
Jun-80,0.0618,30-Jun-80,1.1576
Jul-80,0.0617,31-Jul-80,1.1525
Aug-80,0.0615,31-Aug-80,1.1656
Sep-80,0.061,30-Sep-80,1.169
Oct-80,0.0604,31-Oct-80,1.1726
Nov-80,0.0598,30-Nov-80,1.1643
Dec-80,0.0591,31-Dec-80,1.1807
Jan-81,0.0583,31-Jan-81,1.1707
Feb-81,0.0573,28-Feb-81,1.1566
Mar-81,0.0565,31-Mar-81,1.1684
Apr-81,0.0559,30-Apr-81,1.1505
May-81,0.0557,31-May-81,1.1385
Jun-81,0.056,30-Jun-81,1.148
Jul-81,0.0567,31-Jul-81,1.1356
Aug-81,0.0574,31-Aug-81,1.1508
Sep-81,0.0582,30-Sep-81,1.1414
